case_id	expected_skill	excluded_skills	prompt
route-repo-map-01	repo-map	ee-control-plane,equal-experts-workflow	I have just joined this monorepo. Map its workspaces, startup entry points, authoritative test commands, and the checkout request path. Keep the work read-only.
route-repo-map-02	repo-map	ralph,ee-control-plane	Inspect this unfamiliar service and tell me where a CSV export feature belongs, which components it would cross, and which tests cover that path. Do not change files.
route-ee-control-plane-01	ee-control-plane	repo-map,decision-record,ralph	Bootstrap shared project context for this existing service: agent guidance, conventions, architecture views, and an ADR structure. Preserve and follow any documentation already present.
route-ee-control-plane-02	ee-control-plane	equal-experts-workflow,ee-clarify,ralph	Use the EE control-plane workflow to establish the architecture and engineering conventions for a new event-booking platform before feature implementation starts.
route-ee-clarify-01	ee-clarify	equal-experts-workflow,ee-breakdown,ralph	We want notifications somehow, but the request is still vague. Use EE clarify to turn it into a scoped work item with testable acceptance criteria and open questions.
route-ee-clarify-02	ee-clarify	ee-breakdown,debug,ralph	Clarify this rough bug request before anyone plans it: customers sometimes see stale totals after changing quantity. Define expected behavior, boundaries, and acceptance criteria.
route-ee-breakdown-01	ee-breakdown	equal-experts-workflow,ee-clarify,ralph	Use EE breakdown to split the approved SSO migration into small independently testable work items with dependencies and acceptance criteria.
route-ee-breakdown-02	ee-breakdown	ee-clarify,ralph,repo-map	This checkout epic is already agreed but too large. Prepare Ralph-sized iterations without implementing or running Ralph yet.
route-decision-record-01	decision-record	ee-control-plane,repo-map	Write an ADR recording why we chose PostgreSQL over DynamoDB, including the alternatives, rationale, consequences, and follow-up work. Follow this repository's ADR convention.
route-decision-record-02	decision-record	ee-control-plane,equal-experts-workflow	Supersede our accepted synchronous-messaging ADR with the new queue-based decision and preserve the historical relationship between the records.
route-equal-experts-workflow-01	equal-experts-workflow	ee-clarify,ee-breakdown,ralph	Apply the Equal Experts LLM toolkit to this repository as a versioned rule library, then select the TypeScript and testing rules relevant to the project.
route-equal-experts-workflow-02	equal-experts-workflow	ee-clarify,ee-breakdown,ee-control-plane	For one-off guidance, identify the EE rule files that should constrain upcoming REST API work. Do not install anything or change the repository.
route-ralph-01	ralph	ee-breakdown,ee-clarify,equal-experts-workflow	Use Ralph with the Codex backend to make a plan for specs/payments.md. Summarize the highest-priority item, but do not start a build.
route-ralph-02	ralph	commit,git-workflow,equal-experts-workflow	Run one Ralph build iteration from the existing IMPLEMENTATION_PLAN.md, inspect the result and tests, and do not push.
route-debug-01	debug	quality-gate,local-review	Investigate the intermittent timeout in the invoice worker. Reproduce it, isolate the cause, and recommend a regression test, but do not implement a fix.
route-debug-02	debug	quality-gate,dependency-maintenance	This test passes locally and fails only in CI. Preserve the original error and compare the environments until you can confirm the cause.
route-dependency-maintenance-01	dependency-maintenance	quality-gate,release-readiness	Audit outdated npm dependencies across the workspaces and propose small compatible update batches. Do not update anything yet.
route-dependency-maintenance-02	dependency-maintenance	debug,ralph	Upgrade this project from Django 5.1 to 5.2, assess the release-note impact, update the lockfile, and run the relevant checks.
route-quality-gate-01	quality-gate	release-readiness,local-review,dependency-maintenance	Run every repository-defined formatter check, linter, type check, test suite, and build, then report PASS, FAIL, or INCONCLUSIVE. Do not fix failures.
route-quality-gate-02	quality-gate	local-review,release-readiness	Are these local changes ready to merge? Execute the required CI-equivalent checks and report the exact failing commands, if any.
route-local-review-01	local-review	quality-gate,debug	Review the staged, unstaged, and untracked changes for concrete correctness, security, and regression defects. Report findings without modifying files.
route-local-review-02	local-review	quality-gate,release-readiness	Compare this topic branch with its merge base and review the patch for actionable defects and missing tests; do not run the full project gate.
route-commit-01	commit	git-workflow,release-readiness	Create two atomic local commits from my current work: one for the parser fix and one for its tests. Follow the repository's message convention and stop after committing.
route-commit-02	commit	git-workflow,quality-gate	Commit only the documentation changes that are already complete. Leave the unrelated source edits untouched and do not push.
route-git-workflow-01	git-workflow	commit,release-readiness	Push the current topic branch to its configured upstream. Do not create a commit or open a pull request.
route-git-workflow-02	git-workflow	commit,ralph	Rebase this unpublished topic branch onto the repository's verified default branch, preserving the dirty worktree and reporting any ambiguity before mutation.
route-release-readiness-01	release-readiness	quality-gate,git-workflow	Assess whether version 2.0 is ready to tag and publish, including versions, release notes, compatibility, migrations, artifacts, operational risk, and rollback. Do not publish it.
route-release-readiness-02	release-readiness	quality-gate,local-review	Evaluate this deployment candidate for release blockers: included scope, configuration changes, migration order, observability, and rollback evidence. Reuse matching test evidence where possible.
route-none-01	none	repo-map,ee-control-plane,ee-clarify,ee-breakdown,decision-record,equal-experts-workflow,ralph,debug,dependency-maintenance,quality-gate,local-review,commit,git-workflow,release-readiness	Draft a friendly two-paragraph blog announcement for our summer office hours from the notes in this prompt.
route-none-02	none	ee-clarify,ee-breakdown,ralph,quality-gate,commit	Explain in plain language what a database index is and give me one small SQL example.
